chapter	kind	path	ext	basename	prefix	in_payload	cleanup_class
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak.20251104T202139Z	.20251104T202139Z	generate_data_chapter04.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak.20251104T202456Z	.20251104T202456Z	generate_data_chapter04.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak.20251104T203914Z	.20251104T203914Z	generate_data_chapter04.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak.20251104T204319Z	.20251104T204319Z	generate_data_chapter04.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak_20251031T173336Z	.bak_20251031T173336Z	generate_data_chapter04.py.bak_20251031T173336Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak_20251031T204500Z	.bak_20251031T204500Z	generate_data_chapter04.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/generate_data_chapter04.py.bak_20251031T204856Z	.bak_20251031T204856Z	generate_data_chapter04.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak.20251104T202139Z	.20251104T202139Z	plot_fig01_invariants_schematic.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak.20251104T202456Z	.20251104T202456Z	plot_fig01_invariants_schematic.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak.20251104T203914Z	.20251104T203914Z	plot_fig01_invariants_schematic.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak.20251104T204319Z	.20251104T204319Z	plot_fig01_invariants_schematic.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak_20251031T173336Z	.bak_20251031T173336Z	plot_fig01_invariants_schematic.py.bak_20251031T173336Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak_20251031T204500Z	.bak_20251031T204500Z	plot_fig01_invariants_schematic.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig01_invariants_schematic.py.bak_20251031T204856Z	.bak_20251031T204856Z	plot_fig01_invariants_schematic.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak	.bak	plot_fig02_invariants_histogram.py.bak	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak.20251104T202139Z	.20251104T202139Z	plot_fig02_invariants_histogram.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak.20251104T202456Z	.20251104T202456Z	plot_fig02_invariants_histogram.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak.20251104T203914Z	.20251104T203914Z	plot_fig02_invariants_histogram.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak.20251104T204319Z	.20251104T204319Z	plot_fig02_invariants_histogram.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak_20251031T173336Z	.bak_20251031T173336Z	plot_fig02_invariants_histogram.py.bak_20251031T173336Z	scripts	False	BACKUP_OR_RESCUE
4	scripts	scripts/chapter04/plot_fig02_invariants_histogram.py.bak_20251031T204500Z	.bak_20251031T204500Z	plot_fig02_invariants_histogram.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
