chapter	kind	path	ext	basename	prefix	in_payload	cleanup_class
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak.20251104T194759Z	.20251104T194759Z	generate_data_chapter03.py.bak.20251104T194759Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak.20251104T202456Z	.20251104T202456Z	generate_data_chapter03.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak.20251104T202752Z	.20251104T202752Z	generate_data_chapter03.py.bak.20251104T202752Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak.20251104T203914Z	.20251104T203914Z	generate_data_chapter03.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak.20251104T204319Z	.20251104T204319Z	generate_data_chapter03.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak_20251031T173335Z	.bak_20251031T173335Z	generate_data_chapter03.py.bak_20251031T173335Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak_20251031T204500Z	.bak_20251031T204500Z	generate_data_chapter03.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/generate_data_chapter03.py.bak_20251031T204856Z	.bak_20251031T204856Z	generate_data_chapter03.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/plot_fig01_fR_stability_domain.py.bak.20251104T202139Z	.20251104T202139Z	plot_fig01_fR_stability_domain.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
3	scripts	scripts/03_stability_domain/plot_fig01_fR_stability_domain.py.bak.20251104T202456Z	.20251104T202456Z	plot_fig01_fR_stability_domain.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
