chapter	kind	path	ext	basename	prefix	in_payload	cleanup_class
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T200532Z	.20251104T200532Z	generate_data_chapter06.py.bak.20251104T200532Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T202139Z	.20251104T202139Z	generate_data_chapter06.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T202456Z	.20251104T202456Z	generate_data_chapter06.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T203914Z	.20251104T203914Z	generate_data_chapter06.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T205140Z	.20251104T205140Z	generate_data_chapter06.py.bak.20251104T205140Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T205352Z	.20251104T205352Z	generate_data_chapter06.py.bak.20251104T205352Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T205837Z	.20251104T205837Z	generate_data_chapter06.py.bak.20251104T205837Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak.20251104T210206Z	.20251104T210206Z	generate_data_chapter06.py.bak.20251104T210206Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak_20251031T173338Z	.bak_20251031T173338Z	generate_data_chapter06.py.bak_20251031T173338Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak_20251031T204500Z	.bak_20251031T204500Z	generate_data_chapter06.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.bak_20251031T204856Z	.bak_20251031T204856Z	generate_data_chapter06.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.r10.20251104T210441Z.bak	.bak	generate_data_chapter06.py.r10.20251104T210441Z.bak	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.r11.20251104T211127Z.bak	.bak	generate_data_chapter06.py.r11.20251104T211127Z.bak	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.r12.20251104T211548Z.bak	.bak	generate_data_chapter06.py.r12.20251104T211548Z.bak	scripts	False	BACKUP_OR_RESCUE
6	scripts	scripts/06_early_growth_jwst/generate_data_chapter06.py.r12b.20251104T211740Z.bak	.bak	generate_data_chapter06.py.r12b.20251104T211740Z.bak	scripts	False	BACKUP_OR_RESCUE
