chapter	kind	path	ext	basename	prefix	in_payload	cleanup_class
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak.20251104T200532Z	.20251104T200532Z	generate_coupling_milestones.py.bak.20251104T200532Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak.20251104T202139Z	.20251104T202139Z	generate_coupling_milestones.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak.20251104T202456Z	.20251104T202456Z	generate_coupling_milestones.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak.20251104T203914Z	.20251104T203914Z	generate_coupling_milestones.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak_20251031T173342Z	.bak_20251031T173342Z	generate_coupling_milestones.py.bak_20251031T173342Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak_20251031T204500Z	.bak_20251031T204500Z	generate_coupling_milestones.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.bak_20251031T204856Z	.bak_20251031T204856Z	generate_coupling_milestones.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.rescue.20251105T160822Z.bak	.bak	generate_coupling_milestones.py.rescue.20251105T160822Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.rescue2.20251105T161809Z.bak	.bak	generate_coupling_milestones.py.rescue2.20251105T161809Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.rescue3.20251105T162439Z.bak	.bak	generate_coupling_milestones.py.rescue3.20251105T162439Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_coupling_milestones.py.rescue3b.20251105T162818Z.bak	.bak	generate_coupling_milestones.py.rescue3b.20251105T162818Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_data_chapter08.py.bak.20251104T204319Z	.20251104T204319Z	generate_data_chapter08.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_data_chapter08.py.bak_20251031T173342Z	.bak_20251031T173342Z	generate_data_chapter08.py.bak_20251031T173342Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_data_chapter08.py.bak_20251031T204500Z	.bak_20251031T204500Z	generate_data_chapter08.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/generate_data_chapter08.py.bak_20251031T204856Z	.bak_20251031T204856Z	generate_data_chapter08.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig01_chi2_total_vs_q0.py.bak.20251104T204319Z	.20251104T204319Z	plot_fig01_chi2_total_vs_q0.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig01_chi2_total_vs_q0.py.bak_20251031T173342Z	.bak_20251031T173342Z	plot_fig01_chi2_total_vs_q0.py.bak_20251031T173342Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig01_chi2_total_vs_q0.py.bak_20251031T204500Z	.bak_20251031T204500Z	plot_fig01_chi2_total_vs_q0.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig01_chi2_total_vs_q0.py.bak_20251031T204856Z	.bak_20251031T204856Z	plot_fig01_chi2_total_vs_q0.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig02_dv_vs_z.py.bak.20251104T204319Z	.20251104T204319Z	plot_fig02_dv_vs_z.py.bak.20251104T204319Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig02_dv_vs_z.py.bak_20251031T173342Z	.bak_20251031T173342Z	plot_fig02_dv_vs_z.py.bak_20251031T173342Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig02_dv_vs_z.py.bak_20251031T204500Z	.bak_20251031T204500Z	plot_fig02_dv_vs_z.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig02_dv_vs_z.py.bak_20251031T204856Z	.bak_20251031T204856Z	plot_fig02_dv_vs_z.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak.20251104T200532Z	.20251104T200532Z	plot_fig03_mu_vs_z.py.bak.20251104T200532Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak.20251104T202139Z	.20251104T202139Z	plot_fig03_mu_vs_z.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak.20251104T202456Z	.20251104T202456Z	plot_fig03_mu_vs_z.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak.20251104T203914Z	.20251104T203914Z	plot_fig03_mu_vs_z.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak_20251031T173342Z	.bak_20251031T173342Z	plot_fig03_mu_vs_z.py.bak_20251031T173342Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak_20251031T204500Z	.bak_20251031T204500Z	plot_fig03_mu_vs_z.py.bak_20251031T204500Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.bak_20251031T204856Z	.bak_20251031T204856Z	plot_fig03_mu_vs_z.py.bak_20251031T204856Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.rescue.20251105T160822Z.bak	.bak	plot_fig03_mu_vs_z.py.rescue.20251105T160822Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.rescue2.20251105T161809Z.bak	.bak	plot_fig03_mu_vs_z.py.rescue2.20251105T161809Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.rescue3.20251105T162439Z.bak	.bak	plot_fig03_mu_vs_z.py.rescue3.20251105T162439Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig03_mu_vs_z.py.rescue3b.20251105T162818Z.bak	.bak	plot_fig03_mu_vs_z.py.rescue3b.20251105T162818Z.bak	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig04_chi2_heatmap.py.bak.20251104T200532Z	.20251104T200532Z	plot_fig04_chi2_heatmap.py.bak.20251104T200532Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig04_chi2_heatmap.py.bak.20251104T202139Z	.20251104T202139Z	plot_fig04_chi2_heatmap.py.bak.20251104T202139Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig04_chi2_heatmap.py.bak.20251104T202456Z	.20251104T202456Z	plot_fig04_chi2_heatmap.py.bak.20251104T202456Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig04_chi2_heatmap.py.bak.20251104T203914Z	.20251104T203914Z	plot_fig04_chi2_heatmap.py.bak.20251104T203914Z	scripts	False	BACKUP_OR_RESCUE
8	scripts	scripts/chapter08/plot_fig04_chi2_heatmap.py.bak_20251031T173344Z	.bak_20251031T173344Z	plot_fig04_chi2_heatmap.py.bak_20251031T173344Z	scripts	False	BACKUP_OR_RESCUE
